	tissue_tag	colony	family	age	clr	shp	gcms_run	peak_res	sample_qlty	gcms_vialdate	capture_date	sex
M01	AGF16001	SSB	1	1	1	1	6	0	1	41852	41246	F
M02	AGF16002	SSB	2	1	2	2	5	1	0	41852	41247	F
M03	AGF16003	SSB	3	1	3	3	8	0	0	41849	41248	F
M04	AGF16004	SSB	4	1	4	4	1	0	0	41852	41249	F
M05	AGF16005	SSB	5	1	5	5	4	0	0	41851	41250	F
M06	AGF16006	SSB	6	1	6	6	5	0	1	41852	41252	F
M07	AGF16007	SSB	7	1	1	7	0	0	0	41849	41253	F
M08	AGF16008	SSB	8	1	2	8	2	0	0	41852	41254	F
M09	AGF16009	SSB	9	1	3	9	5	1	1	41851	41258	F
M10	AGF16010	SSB	10	1	4	10	9	1	1	41849	41259	F
M11	AGF16011	SSB	11	1	5	11	4	0	1	41851	41260	F
M12	AGF16012	SSB	12	1	6	12	2	1	1	41851	41261	F
M13	AGF16013	SSB	13	1	1	13	6	1	1	41852	41262	F
M14	AGF16014	SSB	14	1	2	14	1	1	1	41849	41263	F
M15	AGF16015	SSB	15	1	3	15	3	1	1	41851	41264	F
M16	AGF16016	SSB	16	1	4	16	0	0	1	41851	41265	F
M17	AGF16017	SSB	17	1	5	17	9	0	1	41851	41266	F
M18	AGF16018	SSB	18	1	6	18	9	1	1	41851	41267	F
M19	AGF16019	SSB	19	1	2	1	9	1	1	41849	41268	F
M20	AGF16020	SSB	20	1	3	2	8	0	1	41851	41269	F
M21	AGF16021	SSB	21	1	4	3	9	1	1	41851	41270	F
M22	AGF16022	SSB	22	1	5	4	3	0	0	41851	41271	F
M23	AGF16023	SSB	23	1	6	5	4	0	0	41851	41272	F
M24	AGF16024	SSB	24	1	1	6	1	0	0	41851	41273	F
M25	AGF16025	SSB	25	1	2	7	0	0	1	41849	41275	F
P01	AGP16016	SSB	1	2	1	1	6	0	1	41852	41246	M
P02	AGP16015	SSB	2	2	2	2	8	0	1	41849	41247	F
P03	AGP16013	SSB	3	2	3	3	9	0	1	41852	41248	F
P04	AGP16037	SSB	4	2	4	4	5	1	1	41852	41249	F
P05	AGP16030	SSB	5	2	5	5	6	0	1	41852	41250	F
P06	AGP16035	SSB	6	2	6	6	6	0	1	41852	41252	F
P07	AGP16067	SSB	7	2	1	7	1	0	0	41849	41253	F
P07b	AGP16068	SSB	7	2	1	7	7	0	1	41852	41253	M
P08	AGP16048	SSB	8	2	2	8	5	0	1	41852	41254	F
P09	AGP160128	SSB	9	2	3	9	6	0	0	41852	41258	F
P10	AGP16083	SSB	10	2	4	10	4	0	0	41852	41259	F
P11	AGP16150	SSB	11	2	5	11	6	0	1	41852	41260	M
P12	AGP16129	SSB	12	2	6	12	2	0	1	41851	41261	M
P13	AGP16009	SSB	13	2	1	13	8	1	1	41851	41262	F
P14	AGP16152	SSB	14	2	2	14	3	0	1	41851	41263	M
P15	AGP16124	SSB	15	2	3	15	3	0	1	41851	41264	F
P16	AGP16170	SSB	16	2	4	16	4	1	1	41851	41265	M
P17	AGP16010	SSB	17	2	5	17	1	0	1	41849	41266	F
P18	AGP16208	SSB	18	2	6	18	2	1	1	41851	41267	M
P19	AGP16140	SSB	19	2	2	1	8	1	1	41849	41268	M
P20	AGP16200	SSB	20	2	3	2	5	0	1	41851	41269	M
P21	AGP16222	SSB	21	2	4	3	2	0	1	41849	41270	M
P22	AGP16082	SSB	22	2	5	4	9	0	1	41851	41271	F
P23	AGP16188	SSB	23	2	6	5	3	0	1	41851	41272	M
P24	AGP16242	SSB	24	2	1	6	9	1	1	41851	41273	M
P25	AGP16138	SSB	25	2	2	7	8	1	1	41849	41275	F
M26	AGFC16001	FWB	26	1	3	8	8	0	0	41849	41248	F
M27	AGFC16002	FWB	27	1	4	9	9	0	1	41852	41248	F
M28	AGFC16003	FWB	28	1	5	10	7	0	1	41852	41253	F
M29	AGFC16004	FWB	29	1	6	11	5	0	0	41852	41253	F
M30	AGFC16005	FWB	30	1	1	12	5	0	1	41851	41254	F
M31	AGFC16006	FWB	31	1	2	13	9	0	1	41852	41254	F
M32	AGFC16007	FWB	32	1	3	14	4	1	1	41851	41255	F
M33	AGFC16008	FWB	33	1	4	15	0	0	1	41849	41255	F
M34	AGFC16009	FWB	34	1	5	16	9	0	1	41849	41255	F
M35	AGFC16010	FWB	35	1	6	17	6	0	1	41852	41257	F
M36	AGFC16011	FWB	36	1	1	18	2	0	0	41851	41257	F
M37	AGFC16012	FWB	37	1	3	1	3	0	1	41851	41257	F
M38	AGFC16013	FWB	38	1	4	2	2	0	1	41849	41257	F
M39	AGFC16014	FWB	39	1	5	3	1	1	1	41849	41260	F
M40	AGFC16015	FWB	40	1	6	4	0	0	1	41851	41260	F
M41	AGFC16016	FWB	41	1	1	5		0	1	41851	41260	F
M42	AGFC16017	FWB	42	1	2	6	1	0	1	41849	41260	F
M43	AGFC16018	FWB	43	1	3	7	5	0	1	41851	41260	F
M44	AGFC16019	FWB	44	1	4	8	9	0	1	41849	41261	F
M45	AGFC16020	FWB	45	1	5	9	3	0	1	41851	41261	F
M46	AGFC16021	FWB	46	1	6	10	5	0	0	41851	41261	F
M47	AGFC16022	FWB	47	1	1	11	5	0	0	41851	41262	F
M48	AGFC16023	FWB	48	1	2	12	3	1	1	41851	41262	F
M49	AGFC16024	FWB	49	1	3	13	1	1	1	41849	41262	F
M50	AGFC16025	FWB	50	1	4	14	4	1	1	41852	41262	F
P26	AGPC16001	FWB	26	2	3	8	8	0	0	41852	41248	F
P27	AGPC16002	FWB	27	2	4	9	7	0	0	41852	41248	F
P28	AGPC16003	FWB	28	2	5	10	9	0	0	41852	41253	F
P29	AGPC16004	FWB	29	2	6	11	4	0	1	41851	41253	F
P30	AGPC16005	FWB	30	2	1	12	5	1	1	41852	41254	F
P31	AGPC16006	FWB	31	2	2	13	4	0	1	41852	41254	M
P32	AGPC16007	FWB	32	2	3	14	5	0	0	41852	41255	F
P33	AGPC16008	FWB	33	2	4	15	3	0	1	41851	41255	M
P34	AGPC16009	FWB	34	2	5	16	2	0	0	41849	41255	F
P35	AGPC16010	FWB	35	2	6	17	8	0	1	41851	41257	F
P36	AGPC16011	FWB	36	2	1	18	3	0	1	41851	41257	F
P37	AGPC16012	FWB	37	2	3	1	2	0	1	41851	41257	F
P38	AGPC16013	FWB	38	2	4	2	1	0	1	41849	41257	F
P39	AGPC16014	FWB	39	2	5	3	1	0	1	41849	41260	M
P40	AGPC16015	FWB	40	2	6	4	3	1	1	41851	41260	F
P41	AGPC16016	FWB	41	2	1	5	2	0	1	41849	41260	M
P42	AGPC16017	FWB	42	2	2	6	5	0	1	41851	41260	M
P43	AGPC16018	FWB	43	2	3	7	2	1	1	41849	41260	M
P44	AGPC16019	FWB	44	2	4	8	4	1	1	41851	41261	M
P45	AGPC16020	FWB	45	2	5	9	2	0	1	41851	41261	F
P46	AGPC16021	FWB	46	2	6	10	3	0	1	41851	41261	F
P47	AGPC16022	FWB	47	2	1	11	10	0	0	41851	41262	M
P48	AGPC16023	FWB	48	2	2	12	1	0	0	41849	41262	M
P49	AGPC16024	FWB	49	2	3	13	10	0	1	41851	41262	M
P50	AGPC16025	FWB	50	2	4	14	6	1	1	41852	41262	M
P51	AGPLB01	landing_beach	51	2	1	12	9	1	1	41852	42727	M
P52	AGPLB02	landing_beach	52	2	1	12	9	0	1	41852	42727	F
P53	AGPLB03	landing_beach	53	2	1	12	8	0	1	41852	42727	M
P54	AGPLB04	landing_beach	54	2	1	12	9	1	1	41852	42727	F
P55	AGPLB05	landing_beach	55	2	1	12	1	0	1	41849	42727	F
P56	AGPLB06	landing_beach	56	2	1	12	7	0	1	41849	42727	F
P57	AGPLB07	landing_beach	57	2	1	12	9	0	1	41852	42727	M
P58	AGPLB08	landing_beach	58	2	1	12	5	0	1	41852	42727	F
P59	AGPLB09	landing_beach	59	2	1	12	6	0	1	41852	42727	M
P60	AGPLB10	landing_beach	60	2	1	12	5	0	0	41851	42727	M
P61	AGPLB11	landing_beach	61	2	1	12	4	0	1	41852	42734	F
P62	AGPLB12	landing_beach	62	2	1	12	8	0	1	41852	42734	F
P63	AGPLB13	landing_beach	63	2	1	12	6	1	1	41852	42734	M
P64	AGPLB14	landing_beach	64	2	1	12	6	0	1	41852	42734	M
P65	AGPLB15	landing_beach	65	2	1	12	8	0	1	41849	42734	F
P66	AGPMB01	main_bay	66	2	1	12	5	0	1	41851	42732	F
P67	AGPMB02	main_bay	67	2	1	12	1	0	0	41849	42732	F
P68	AGPMB03	main_bay	68	2	1	12	7	0	1	41852	42732	F
P69	AGPMB04	main_bay	69	2	1	12	10	0	1	41852	42732	M
P70	AGPMB05	main_bay	70	2	1	12	9	1	1	41852	42732	F
P71	AGPMB06	main_bay	71	2	1	12	6	0	1	41852	42732	F
P72	AGPMB07	main_bay	72	2	1	12	4	0	0	41851	42732	F
P73	AGPMB08	main_bay	73	2	1	12	6	0	0	41852	42732	M
P74	AGPMB09	main_bay	74	2	1	12	6	0	0	41852	42732	M
P75	AGPMB10	main_bay	75	2	1	12	8	0	0	41852	42732	F
P76	AGPMB11	main_bay	76	2	1	12	4	0	0	41852	42732	M
P77	AGPMB12	main_bay	77	2	1	12	9	0	0	41849	42732	M
P78	AGPMB13	main_bay	78	2	1	12	7	0	0	41849	42732	M
P79	AGPMB14	main_bay	79	2	1	12	9	0	0	41852	42732	M
